Count,lambda,t,A,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60
30,15,1.1,0.3,-0.090130702,-0.071926667,-0.057389217,-0.045534851,-0.035814288,-0.027711727,-0.020895238,-0.015116667,-0.010177778,-0.00592,-0.002206061,0.001033333,0.003876923,0.006409524,0.008648889,0.010658333,0.012470588,0.014014815,0.015249123,0.016134409,0.016825397,0.017152555,0.017217391,0.017277778,0.017387594,0.01764193,0.017877426,0.018143721,0.018529588,0.018934175,2.736133333,5.6152,8.5804,11.59493333,14.63333333,17.68,20.72266667,23.75466667,26.76933333,29.76533333,32.73866667,35.688,38.61333333,41.512,44.38533333,47.232,50.04666667,52.68933333,55.15066667,57.38933333,59.42533333,61.13733333,62.55866667,63.71866667,64.672,65.52,66.25733333,66.97333333,67.67466667,68.35466667
31,7,2.1,0.6,0.046521851,0.047595262,0.048582303,0.049546849,0.050493806,0.051408183,0.052305998,0.053186327,0.054013765,0.054286122,0.052789956,0.051404648,0.050298717,0.04906099,0.047878211,0.0460207,0.043802486,0.041769743,0.040102133,0.037990581,0.035507542,0.032659147,0.029485431,0.026232624,0.023034797,0.020092176,0.017525119,0.015104167,0.012729426,0.010580042,11.91457143,23.76857143,35.55428571,47.27428571,58.92571429,70.50857143,82.02285714,93.46857143,104.8371429,115.8514286,125.7628571,135.5028571,145.1714286,154.5942857,163.7971429,172.3228571,180.2514286,187.8685714,195.1114286,201.4971429,207.3028571,212.5257143,217.0571429,221.1857143,224.8742857,228.3457143,231.3542857,233.96,236.3514286,238.5114286
32,12,0.2,0.7,-0.649435009,-0.675377303,-0.688561439,-0.69963373,-0.710242489,-0.718526129,-0.71197572,-0.674688001,-0.621462963,-0.569333333,-0.522772727,-0.482208333,-0.446839744,-0.415992857,-0.38891,-0.365021356,-0.343756251,-0.324735624,-0.307641021,-0.292191016,-0.278164934,-0.265383741,-0.25368505,-0.242940482,-0.233,-0.223527149,-0.214758348,-0.206934937,-0.199660881,-0.19286627,0.017906667,0.040688333,0.071673333,0.116686667,0.1894,0.326266667,0.6193,1.134583333,1.764333333,2.424,3.088833333,3.7515,4.409833333,5.0625,5.709166667,6.349666667,6.983833333,7.611833333,8.2335,8.849166667,9.4585,10.062,10.6595,11.251,11.83633333,12.39316667,12.892,13.31883333,13.60183333,13.82916667
34,21,0.7,1.1,-0.610300824,-0.620308704,-0.616901498,-0.60884208,-0.592373333,-0.566714286,-0.532993197,-0.495130952,-0.457291005,-0.42209619,-0.390060606,-0.361510991,-0.336231778,-0.313808584,-0.293867056,-0.276066901,-0.26005826,-0.245664251,-0.232670042,-0.220846626,-0.210058501,-0.199991342,-0.190799553,-0.182326799,-0.174736201,-0.167680023,-0.161199295,-0.155136054,-0.14945322,-0.14415873,0.159028571,0.36707619,0.647847619,1.027619048,1.566952381,2.309333333,3.260761905,4.373809524,5.585142857,6.846571429,8.133809524,9.429333333,10.7247619,12.0152381,13.29809524,14.57238095,15.83619048,17.08952381,18.33142857,19.56285714,20.77428571,21.93809524,23.06095238,24.1152381,25.07904762,25.98095238,26.74952381,27.36857143,27.87428571,28.32857143
38,17,0.6,0.6,-0.526206734,-0.4951944,-0.447923137,-0.394405718,-0.343792649,-0.300372549,-0.264554622,-0.234897059,-0.210379085,-0.189905882,-0.172620321,-0.157852941,-0.145122172,-0.134042017,-0.124329412,-0.115735294,-0.108096886,-0.101267974,-0.095071207,-0.089475852,-0.084201681,-0.079629927,-0.075656044,-0.072062356,-0.068803238,-0.065749581,-0.062965707,-0.060380688,-0.057973954,-0.055688458,0.411329412,1.026047059,1.910470588,3.049058824,4.352470588,5.738470588,7.158823529,8.592823529,10.02682353,11.45482353,12.87411765,14.28235294,15.67764706,17.06117647,18.43176471,19.79058824,21.13411765,22.46588235,23.78470588,25.04941176,26.24705882,27.33764706,28.30823529,29.14,29.77529412,30.27411765,30.69647059,31.07764706,31.42588235,31.73529412
39,16,0.7,1.5,-0.612484205,-0.633381322,-0.638795151,-0.640212467,-0.640951929,-0.642010293,-0.643043401,-0.643959994,-0.64465898,-0.645068134,-0.645073304,-0.644525471,-0.64322531,-0.640932226,-0.637339778,-0.632122822,-0.624990808,-0.615688589,-0.604388447,-0.59125625,-0.576755952,-0.561335227,-0.545451087,-0.529444242,-0.513560678,-0.49800952,-0.482898792,-0.46831555,-0.454312686,-0.440901704,0.095255,0.201075,0.315375,0.4405375,0.57865,0.7319875,0.9033625,1.0963375,1.315375,1.566125,1.85575,2.193375,2.59025,3.059875,3.61775,4.280125,5.060625,5.96775,6.99775,8.139375,9.373875,10.68025,12.039,13.435,14.85375,16.27875,17.68,19.07625,20.46125,21.81875
40,16,1.5,0.8,-0.330023887,-0.316900431,-0.302529377,-0.288164885,-0.274050459,-0.26021586,-0.246829791,-0.233920925,-0.221547222,-0.20980625,-0.198681818,-0.188166667,-0.17825,-0.168928571,-0.160283333,-0.152328125,-0.144937128,-0.138120703,-0.13185078,-0.12608288,-0.120556019,-0.115347463,-0.110658188,-0.106261069,-0.10220511,-0.098422925,-0.094869895,-0.091477298,-0.088064141,-0.084625,2.153875,4.4675,6.928,9.5315,12.268375,15.12625,18.0925,21.15,24.2875,27.4875,30.74125,34.03375,37.3575,40.70125,43.9825,47.18125,50.3375,53.35625,56.3075,59.0875,61.75375,64.315,66.74875,69.02875,71.2375,73.28875,75.1125,76.84,78.4725,79.9675
41,20,1.5,2.1,-0.588049174,-0.602902177,-0.604372896,-0.603144843,-0.601667967,-0.60025,-0.598799829,-0.597049631,-0.595066118,-0.592839284,-0.590326393,-0.587507292,-0.584352643,-0.580798628,-0.576809333,-0.572406875,-0.567535294,-0.562161111,-0.556308227,-0.549897495,-0.542973475,-0.535556162,-0.527530435,-0.518917455,-0.510058405,-0.500880837,-0.491592281,-0.482082783,-0.472550778,-0.462948765,0.34707,0.72049,1.1126,1.5288,1.9717,2.4436,2.9473,3.4863,4.0639,4.6842,5.3513,6.0699,6.845,7.6816,8.5852,9.5612,10.615,11.75,12.972,14.282,15.684,17.175,18.726,20.307,21.929,23.619,25.358,27.117,28.871,30.649
45,5,1.6,0.2,0.2196,0.21914,0.218626667,0.2181,0.217584,0.217033333,0.216502857,0.216,0.215466667,0.21492,0.214311686,0.212519165,0.210553846,0.20873093,0.207061145,0.20515,0.202818757,0.200262216,0.197810757,0.195152194,0.192610931,0.190383567,0.188077859,0.185447885,0.18203899,0.178549478,0.175314489,0.172337996,0.169607167,0.166866507,15.5584,30.974,46.244,61.372,76.36,91.208,105.92,120.492,134.928,149.232,163.348,176.284,188.772,201.168,213.44,225.156,236.244,246.748,256.54,265.212,272.896,279.52,284.736,289.272,292.568,295.416,297.896,300.128,302.204,303.96
46,18,1.6,0.2,0.029154162,0.033994444,0.037251852,0.039806661,0.041934265,0.043666667,0.045126984,0.046361111,0.047407407,0.048311111,0.049080808,0.049731481,0.050299145,0.050785714,0.0512,0.051531144,0.051895425,0.052098765,0.052105263,0.051830454,0.0510555,0.049949495,0.048934834,0.047865938,0.046973602,0.046320827,0.045796815,0.045391422,0.04509233,0.044887226,3.895222222,7.804444444,11.7,15.57777778,19.43,23.25333333,27.04666667,30.80777778,34.53444444,38.22666667,41.88333333,45.50555556,49.09333333,52.64555556,56.16333333,59.64666667,63.05444444,66.33555556,69.42,72.17666667,74.44444444,76.17222222,77.48777778,78.54222222,79.49777778,80.44222222,81.35111111,82.23222222,83.08666667,83.91333333
47,16,2.1,1.8,-0.51099424,-0.512326541,-0.509312888,-0.505875367,-0.502362795,-0.49870828,-0.494964286,-0.491170495,-0.487138889,-0.48305,-0.478840909,-0.474549432,-0.470057692,-0.4655,-0.460823333,-0.456052344,-0.451098221,-0.445860297,-0.440509244,-0.435150341,-0.42980649,-0.424353656,-0.418803326,-0.413254518,-0.407825391,-0.402341121,-0.396918163,-0.391442218,-0.385998793,-0.380659277,1.400125,2.8535,4.350375,5.896375,7.492875,9.141625,10.844125,12.60125,14.41625,16.28875,18.22,20.2125,22.26625,24.38125,26.56,28.8,31.09375,33.31125,35.52,37.76875,40.01625,42.295,44.54375,46.765,48.97625,51.19375,53.43625,55.5925,57.70625,59.81
48,15,0.2,0.2,-0.275570076,-0.14605693,-0.096217946,-0.071130962,-0.055543704,-0.044975779,-0.037409524,-0.031666667,-0.027214815,-0.023626667,-0.02070303,-0.018255556,-0.016194872,-0.014419048,-0.012887743,-0.011549038,-0.010375657,-0.009325235,-0.008392394,-0.007506166,-0.006678941,-0.006181444,-0.005796765,-0.00538859,-0.005119727,-0.004820266,-0.004493605,-0.004237893,-0.003953841,-0.003733167,0.398893333,0.98132,1.564666667,2.1424,2.7144,3.280266667,3.840133333,4.394,4.942133333,5.484533333,6.0212,6.552133333,7.077733333,7.597733333,8.1124,8.621866667,9.126,9.624933333,10.11893333,10.60373333,11.07253333,11.3512,11.48293333,11.6092,11.73493333,11.85853333,11.98,12.09933333,12.2168,12.3328
49,21,0.2,1.5,-0.528869207,-0.616140334,-0.652051545,-0.670701003,-0.687200687,-0.704762585,-0.724038069,-0.745569033,-0.771218145,-0.794699105,-0.768,-0.71518254,-0.665340659,-0.621673469,-0.582463492,-0.547303571,-0.515927171,-0.487878307,-0.462636591,-0.439861905,-0.419151927,-0.40025974,-0.383022774,-0.367103175,-0.352533333,-0.339010989,-0.326455026,-0.314829932,-0.303842365,-0.293301587,0.001730381,0.004399714,0.007576095,0.011295238,0.016024762,0.022489524,0.032048571,0.048157143,0.083101905,0.203619048,0.516314286,0.886819048,1.261428571,1.633809524,2.003238095,2.369142857,2.73152381,3.090285714,3.445428571,3.797047619,4.145142857,4.489714286,4.830952381,5.168761905,5.503142857,5.834190476,6.162,6.486571429,6.807238095,7.122857143
50,11,0.5,1.4,-0.59671258,-0.618028759,-0.622674665,-0.623778576,-0.624618182,-0.625704588,-0.627016496,-0.628312952,-0.629591466,-0.630951082,-0.632286328,-0.633656615,-0.635025878,-0.636407326,-0.637798521,-0.639209001,-0.640592577,-0.641953733,-0.643248158,-0.644549505,-0.645657633,-0.646689809,-0.647576884,-0.648132434,-0.648308968,-0.648045318,-0.647124579,-0.6455,-0.642892163,-0.639264848,0.049970909,0.103430909,0.15892,0.217218182,0.278654545,0.343472727,0.412072727,0.4848,0.562127273,0.644581818,0.732745455,0.827327273,0.929127273,1.039109091,1.158418182,1.2884,1.430636364,1.587054545,1.760018182,1.952363636,2.167454545,2.409636364,2.684,2.996727273,3.355272727,3.768363636,4.246,4.798727273,5.436181818,6.166363636
